history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL;TRADINGSESSION
TQBR;2021-11-26;Yandex clA;YNDX;47211;6755464762;5416.2;5316.2;5530.2;5349.2;5403.2;5380;1250402;5408;5408;5349.2;6162824506.2;6162824506.2;6162824506.2;0;3
TQBR;2021-11-29;Yandex clA;YNDX;43215;6253848071.4;5395;5333;5529;5369;5436.4;5407;1150658;5436.6;5436.6;5369;5841556390.2;5841556390.2;5841556390.2;0;3
TQBR;2021-11-30;Yandex clA;YNDX;46254;8824695136.6;5353;5261.2;5510;5390;5405.2;5359.4;1632649;5414.4;5414.4;5390;7832711378.6;7832711378.6;7832711378.6;0;3
TQBR;2021-12-01;Yandex clA;YNDX;32141;3336388093.8;5412;5330;5458.6;5413.4;5406;5330.8;617156;5411.6;5411.6;5413.4;2641064387.2;2641064387.2;2641064387.2;0;3
TQBR;2021-12-02;Yandex clA;YNDX;40822;5043941359.6;5338.4;5185;5412.6;5193.4;5280.2;5255;955367;5286.6;5286.6;5193.4;4062152055;4062152055;4062152055;0;3
TQBR;2021-12-03;Yandex clA;YNDX;35788;4579129513.4;5260;5073;5283;5156;5204;5100.6;880159;5231.2;5231.2;5156;3551422615.2;3551422615.2;3551422615.2;0;3
TQBR;2021-12-06;Yandex clA;YNDX;43532;4114539271.8;5100.6;4905;5169;4979;5015.4;5068;820384;5007.2;5007.2;4979;3570589183.2;3570589183.2;3570589183.2;0;3
TQBR;2021-12-07;Yandex clA;YNDX;42115;4991081568.4;5080.2;4983.2;5178;5106;5099;4992;978824;5112.8;5112.8;5106;3801536511.6;3801536511.6;3801536511.6;0;3
TQBR;2021-12-08;Yandex clA;YNDX;53365;5172421583.8;5016;4775;5071.2;4869.8;4941.4;4932.2;1047131;4935.6;4935.6;4869.8;4417583368.8;4417583368.8;4417583368.8;0;3
TQBR;2021-12-09;Yandex clA;YNDX;39664;4448800139.2;4934;4825;5013.2;4892;4956;4853.6;897648;4973.8;4973.8;4892;3601732921;3601732921;3601732921;0;3
TQBR;2021-12-10;Yandex clA;YNDX;55580;5265399747.6;4859;4650;4887;4736;4773.4;4664;1103345;4812.2;4812.2;4736;3520931649.2;3520931649.2;3520931649.2;0;3
TQBR;2021-12-13;Yandex clA;YNDX;61057;6506397396.2;4674.4;4505;4728.8;4551.6;4599.6;4560;1414531;4600.8;4600.8;4551.6;5370092669.8;5370092669.8;5370092669.8;0;3
TQBR;2021-12-14;Yandex clA;YNDX;56061;5258565066;4560;4237.2;4675;4596.8;4560.8;4586.4;1153010;4582.2;4582.2;4596.8;4099409441.2;4099409441.2;4099409441.2;0;3
TQBR;2021-12-15;Yandex clA;YNDX;40883;3745573138.8;4587.4;4462;4619;4502.8;4529.8;4511.6;826881;4539.4;4539.4;4502.8;2666806419.6;2666806419.6;2666806419.6;0;3
TQBR;2021-12-16;Yandex clA;YNDX;82131;8530174680.6;4526;4505.6;4810.4;4702.8;4688.8;4609.6;1817894;4708.6;4708.6;4702.8;7275968764.6;7275968764.6;7275968764.6;0;3


